Timestamp,Open,High,Low,Close,Volume
1748392200,109088,109291,108879,109252,22.47557218
1748394000,109255,109307,108898,108929,16.79316567
1748395800,108927,109025,108686,108724,11.73196609
1748397600,108735,108888,108467,108543,12.99804871
1748399400,108522,108923,108500,108676,4.79334260
1748401200,108676,108901,108618,108768,2.41839805
1748403000,108765,108990,108753,108914,5.36729998
1748404800,108898,108938,108689,108757,4.70921175
1748406600,108729,109107,108728,109010,24.36238029
1748408400,109023,109028,108889,109011,3.21980536
1748410200,109010,109134,108939,109059,5.83402169
1748412000,109024,109024,108688,108867,10.27370329
1748413800,108853,108871,108701,108773,11.19442426
1748415600,108775,109032,108768,108927,5.90895464
1748417400,108928,109059,108839,108872,3.44414113
1748419200,108887,108979,108752,108960,2.00204230
1748421000,108950,109182,108676,109094,41.74684327
1748422800,109095,109096,108624,108636,23.62200371
1748424600,108634,108891,108572,108850,10.20493118
1748426400,108862,108866,108338,108680,19.88068138
1748428200,108694,108964,108642,108901,25.75679817
1748430000,108887,108995,108766,108792,2.54766234
1748431800,108781,108985,108781,108916,8.76225477
1748433600,108929,109081,108878,109065,14.66542387
1748435400,109068,109088,108832,108946,7.92055095
1748437200,108951,108970,108707,108780,16.77357557
1748439000,108774,109023,108065,108121,66.79921773
1748440800,108091,108306,107669,107980,43.48445176
1748442600,107943,107944,107507,107560,33.31270109
1748444400,107550,107706,107175,107337,26.40393453
1748446200,107298,107509,107086,107169,11.44431502
1748448000,107140,107490,107140,107445,17.20498299
1748449800,107434,107439,107231,107439,8.21259306
1748451600,107461,107858,107446,107642,43.07117971
1748453400,107642,107741,107419,107718,14.72224137
1748455200,107709,107871,107543,107543,9.13357951
1748457000,107556,107811,107432,107506,20.03028852
1748458800,107504,107829,107489,107534,83.00056779
1748460600,107524,107547,106912,106977,128.61127964
1748462400,106981,107251,106804,107195,40.70584364
1748464200,107189,107419,107110,107326,63.74872337
1748466000,107333,107444,107202,107402,24.34947481
1748467800,107400,107582,107395,107518,22.95037463
1748469600,107487,107496,107212,107267,9.01093322
1748471400,107280,107492,107178,107428,7.59832803
1748473200,107455,108039,107447,107996,38.35718022
1748475000,107996,108088,107752,107811,27.58887192
1748476800,107821,108039,107496,108038,51.78635893
1748478600,108039,108311,107805,108303,17.62017522
1748480400,108298,108312,107919,107956,10.19513188
1748482200,107956,108351,107858,108181,50.18640550
1748484000,108181,108263,107971,108122,6.16411839
1748485800,108150,108507,108045,108470,18.41766416
1748487600,108472,108475,108184,108209,11.04553821
1748489400,108204,108239,108013,108087,24.66566505
1748491200,108117,108153,107754,107899,12.20425682
1748493000,107900,107935,107001,107607,83.53400824
1748494800,107609,107703,107538,107661,8.96332938
1748496600,107653,107793,107653,107711,13.02034356
1748498400,107711,107974,107687,107972,9.99759792
1748500200,107971,107987,107792,107932,3.97816439
1748502000,107928,108039,107795,108027,6.27225072
1748503800,108027,108039,107845,107915,5.30032914
1748505600,107922,108283,107752,108227,41.19588255
1748507400,108212,108576,108168,108537,19.39929718
1748509200,108530,108650,108367,108485,7.30601915
1748511000,108488,108647,108383,108595,6.96164156
